Pf_GeneID	Pk_GeneID	distance	dtw	outcome
58	PF3D7_0205400	PKNH_0415500	0.145	33.7076097518649	sim
59	PF3D7_0205500	PKNH_0415400	0.48	38.5799629404823	sim
60	PF3D7_0205600	PKNH_0415300	0.035	13.6713407770324	sim
61	PF3D7_0205800	PKNH_0415100	0.075	20.938713195656	sim
62	PF3D7_0205900	PKNH_0415000	0.01	36.7300160204071	sim
63	PF3D7_0206200	PKNH_0414700	0.04	45.4669491481981	sim
64	PF3D7_0206600	PKNH_0414400	0.305	50.0641120389582	sim
65	PF3D7_0206700	PKNH_0414300	0.485	48.6313726946154	sim
66	PF3D7_0207200	PKNH_0413900	0.4	300.795178195111	dissim
67	PF3D7_0207300	PKNH_0413800	0.22	72.7903939829781	sim
68	PF3D7_0207600	PKNH_0413200	0.03	25.5139373187203	sim
69	PF3D7_0207600	PKNH_0413400	0.03	18.6009792619719	sim
70	PF3D7_0207600	PKNH_0413700	0.03	23.9165799225668	sim
71	PF3D7_0208000	PKNH_0413400	0.05	29.0461880707852	sim
72	PF3D7_0208500	PKNH_0412600	0.105	84.6436565520993	sim
73	PF3D7_0208900	PKNH_0412200	0.26	237.915517787697	dissim
74	PF3D7_0209100	PKNH_0412000	0	148.147813353308	dissim
75	PF3D7_0209200	PKNH_0411900	0.31	40.5359898694453	sim
76	PF3D7_0209300	PKNH_0411800	0.105	45.6169556170219	sim
77	PF3D7_0209400	PKNH_0411700	0.105	53.6455561630104	sim
78	PF3D7_0210100	PKNH_0411100	0.15	26.1066876810776	sim
79	PF3D7_0210300	PKNH_0410900	0.105	47.5511652924274	sim
80	PF3D7_0210400	PKNH_0410800	0.145	57.2021183827272	sim
81	PF3D7_0210600	PKNH_0410600	0.085	99.7480818663442	sim
82	PF3D7_0210700	PKNH_0410500	0.085	179.272830000149	dissim
83	PF3D7_0211100	PKNH_0410200	0.485	166.413020650727	dissim
84	PF3D7_0211200	PKNH_0410100	0.01	22.0981644982166	sim
85	PF3D7_0211300	PKNH_0410000	0.48	252.820128280395	dissim
86	PF3D7_0211400	PKNH_0409900	0.115	47.4756976946846	sim
87	PF3D7_0211600	PKNH_0409600	0.05	50.0247691050139	sim
88	PF3D7_0211800	PKNH_0409400	0.24	87.6305408631094	sim
89	PF3D7_0212000	PKNH_0409200	0.115	41.671592966798	sim
90	PF3D7_0212300	PKNH_0408900	0	69.7423135727806	sim
91	PF3D7_0212600	PKNH_0408600	0	175.570327813359	dissim
92	PF3D7_0212900	PKNH_0408300	0.1	41.890234329617	sim
93	PF3D7_0213000	PKNH_0408000	0.32	153.387636161865	dissim
94	PF3D7_0213100	PKNH_0407900	0.15	11.374336800744	sim
95	PF3D7_0213200	PKNH_0407800	0.265	79.0577696820791	sim
96	PF3D7_0213300	PKNH_0407700	0.07	45.7491116729702	sim
97	PF3D7_0213400	PKNH_0407600	0.265	120.839481917019	dissim
98	PF3D7_0213700	PKNH_0407300	0.14	17.9954237458538	sim
99	PF3D7_0214000	PKNH_0406800	0.1	15.6516452716042	sim
100	PF3D7_0214200	PKNH_0406600	0.145	57.6881740955852	sim
101	PF3D7_0214700	PKNH_0406100	0.085	46.5157816037435	sim
102	PF3D7_0215100	PKNH_0405700	0.025	32.3910066131579	sim
103	PF3D7_0215200	PKNH_0405600	0.26	85.0189158585789	sim
104	PF3D7_0215300	PKNH_0405800	0.165	39.6140177363099	sim
105	PF3D7_0215700	PKNH_0405200	0.185	20.2862385053688	sim
106	PF3D7_0215800	PKNH_0405100	0.115	37.215332396472	sim
107	PF3D7_0215900	PKNH_0405000	0.05	39.6468464436201	sim
108	PF3D7_0216400	PKNH_0404500	0.095	30.3520358591079	sim
109	PF3D7_0216600	PKNH_0404300	0.165	56.6738818429107	sim
110	PF3D7_0217100	PKNH_0403800	0.19	74.0976565704265	sim
111	PF3D7_0217300	PKNH_0403600	0.025	65.7082841604024	sim
112	PF3D7_0217400	PKNH_0403500	0.48	132.928837139822	dissim
113	PF3D7_0217500	PKNH_0403400	0.04	88.3676927894342	sim
114	PF3D7_0217700	PKNH_0403200	0.105	30.8072921766388	sim
115	PF3D7_0217800	PKNH_0403100	0.225	9.3196799566076	sim
116	PF3D7_0217900	PKNH_0403000	0.105	72.0870798689462	sim
117	PF3D7_0218000	PKNH_0402900	0.115	41.5557161985902	sim
118	PF3D7_0218300	PKNH_0402600	0.0649999999999999	36.5548021805164	sim
119	PF3D7_0218400	PKNH_0402500	0	49.8937074211784	sim
120	PF3D7_0219100	PKNH_0401800	0.325	305.913739005575	dissim
121	PF3D7_0219500	PKNH_0401400	0.03	50.7164623739442	sim
122	PF3D7_0219600	PKNH_0401300	0.115	43.3475546671699	sim
123	PF3D7_0301000	PKNH_0405800	0	65.4969673094543	sim
124	PF3D7_0301200	PKNH_0113200	0.11	101.698015257752	sim
125	PF3D7_0301900	PKNH_0840800	0.14	151.280771208217	dissim
126	PF3D7_0302000	PKNH_0840700	0.185	32.201744232928	sim
127	PF3D7_0302100	PKNH_0840600	0.47	214.321310856649	dissim
128	PF3D7_0302200	PKNH_1401300	0.055	30.8353525473235	sim
129	PF3D7_0302600	PKNH_0840500	0.105	71.2347928514218	sim
130	PF3D7_0302700	PKNH_0840400	0.225	64.7054577846943	sim
131	PF3D7_0302800	PKNH_0840300	0.11	44.6804774725449	sim
132	PF3D7_0303400	PKNH_0839700	0.05	17.9074889018493	sim
133	PF3D7_0303600	PKNH_0839500	0.145	104.618713904309	sim
134	PF3D7_0303700	PKNH_0839400	0.2	90.6961484675563	sim
135	PF3D7_0303800	PKNH_0839300	0.32	61.3344138768215	sim
136	PF3D7_0303900	PKNH_0839200	0.435	158.672010357514	dissim
137	PF3D7_0304000	PKNH_0839100	0.11	67.1874658184644	sim
138	PF3D7_0304100	PKNH_0839000	0.11	31.8390168423401	sim
139	PF3D7_0304200	PKNH_0838900	0.04	80.21212755876	sim
140	PF3D7_0304400	PKNH_0838700	0.065	6.63532319176778	sim
141	PF3D7_0304500	PKNH_0838600	0.025	42.6295640121531	sim
142	PF3D7_0304900	PKNH_0838200	0.185	23.31322723193	sim
143	PF3D7_0305000	PKNH_0838100	0.195	72.5330433677608	sim
144	PF3D7_0305300	PKNH_0837400	0.11	104.749394325458	sim
145	PF3D7_0305400	PKNH_0837300	0.48	81.8967158288407	sim
146	PF3D7_0305600	PKNH_0837100	0.01	13.8900393990706	sim
147	PF3D7_0306000	PKNH_0836700	0.225	87.0616940185947	sim
148	PF3D7_0306200	PKNH_0836500	0.015	23.3005290552588	sim
149	PF3D7_0306300	PKNH_0836400	0.02	36.5158176021298	sim
150	PF3D7_0306400	PKNH_0836300	0.435	220.051451307773	dissim
151	PF3D7_0306500	PKNH_0836200	0.175	30.8619411998793	sim
152	PF3D7_0306600	PKNH_0836100	0.145	85.1023721154971	sim
153	PF3D7_0306700	PKNH_0836000	0.27	50.7042264739634	sim
154	PF3D7_0306800	PKNH_0835900	0.14	19.9081612564486	sim
155	PF3D7_0306900	PKNH_0835700	0.1	29.5206800254098	sim
156	PF3D7_0307100	PKNH_0835600	0.225	17.2682495211849	sim
157	PF3D7_0307200	PKNH_0835500	0.065	17.0289157810368	sim
158	PF3D7_0307300	PKNH_0835400	0.36	438.765470137159	dissim
159	PF3D7_0307400	PKNH_0835300	0.01	22.7135447039344	sim
160	PF3D7_0307500	PKNH_0835200	0.03	16.1631489215574	sim
161	PF3D7_0307800	PKNH_0834900	0.035	163.498486258294	dissim
162	PF3D7_0308000	PKNH_0834700	0.105	53.9592271346747	sim
163	PF3D7_0308200	PKNH_0834500	0.095	22.0363567873583	sim
164	PF3D7_0308500	PKNH_0834200	0.025	51.3853493032591	sim
165	PF3D7_0308600	PKNH_0834100	0.1	7.32551338481343	sim
166	PF3D7_0308800	PKNH_0833900	0.22	86.5954647709313	sim
167	PF3D7_0308900	PKNH_0833800	0.26	95.1158698290761	sim
168	PF3D7_0309000	PKNH_0833700	0.47	54.4041275348818	sim
169	PF3D7_0309100	PKNH_0833600	0.14	39.8143783327457	sim
170	PF3D7_0309600	PKNH_0833100	0.065	35.9842884630885	sim
171	PF3D7_0309800	PKNH_0832900	0.26	229.700054220105	dissim
172	PF3D7_0310000	PKNH_0832700	0.075	99.4400072587672	sim
173	PF3D7_0310100	PKNH_0832600	0.21	152.713653555303	dissim
174	PF3D7_0310500	PKNH_0832200	0.055	52.7347817417496	sim
175	PF3D7_0311000	PKNH_0831700	0.07	98.9033307535777	sim
176	PF3D7_0311500	PKNH_0830900	0.31	88.1609799009371	sim
177	PF3D7_0311600	PKNH_0830800	0.015	107.412690166925	sim
178	PF3D7_0311700	PKNH_0830700	0.11	24.2547437207371	sim
179	PF3D7_0311800	PKNH_0830600	0.03	68.5437991144003	sim
180	PF3D7_0312000	PKNH_0830400	0.15	49.8560620520825	sim
181	PF3D7_0312300	PKNH_0830100	0.01	50.1076027662787	sim
182	PF3D7_0312400	PKNH_0829800	0.175	13.7720475858803	sim
183	PF3D7_0312800	PKNH_0829400	0.145	5.50589192086138	sim
184	PF3D7_0313100	PKNH_0829100	0.11	28.2522010731375	sim
185	PF3D7_0313200	PKNH_0829000	0.105	54.9326505579868	sim
186	PF3D7_0313300	PKNH_0828900	0.105	58.7525368480751	sim
187	PF3D7_0313600	PKNH_0828600	0.115	40.2491966129294	sim
188	PF3D7_0313700	PKNH_0828500	0.115	36.1684636972136	sim
189	PF3D7_0314000	PKNH_0828200	0.03	81.0600173707204	sim
190	PF3D7_0314300	PKNH_0827800	0.055	31.2025699197376	sim
191	PF3D7_0314400	PKNH_0827700	0.47	279.621586206684	dissim
192	PF3D7_0315000	PKNH_0827100	0.105	70.947883152074	sim
193	PF3D7_0315500	PKNH_0826600	0.105	74.8095793555913	sim
194	PF3D7_0315700	PKNH_0826400	0.26	96.3626817512312	sim
195	PF3D7_0316100	PKNH_0826000	0.22	111.67285022742	dissim
196	PF3D7_0316500	PKNH_0825300	0.055	14.9577665853808	sim
197	PF3D7_0316600	PKNH_0825200	0.225	22.4277350320281	sim
198	PF3D7_0316700	PKNH_0825100	0.25	176.530131570688	dissim
199	PF3D7_0316800	PKNH_0825000	0.48	25.8726152970919	sim
200	PF3D7_0317000	PKNH_0824800	0.01	37.7326639952101	sim
201	PF3D7_0317400	PKNH_0824400	0.18	29.0620100183379	sim
202	PF3D7_0317600	PKNH_0824200	0.105	15.1713914857927	sim
203	PF3D7_0317800	PKNH_0824000	0.105	67.679793900155	sim
204	PF3D7_0317900	PKNH_0823900	0.025	38.5215473627352	sim
205	PF3D7_0318100	PKNH_0823700	0.015	38.9295055561262	sim
206	PF3D7_0318400	PKNH_0823000	0.11	32.7396735233412	sim
207	PF3D7_0318600	PKNH_0822800	0.26	310.969853861412	dissim
208	PF3D7_0318800	PKNH_0822700	0.445	397.380437673623	dissim
209	PF3D7_0319100	PKNH_0822400	0.035	37.2829769988223	sim
210	PF3D7_0319300	PKNH_0821900	0.28	61.6571384310853	sim
211	PF3D7_0319400	PKNH_0821800	0.115	19.8453544834911	sim
212	PF3D7_0319500	PKNH_0821700	0.26	114.528923275532	dissim
213	PF3D7_0319900	PKNH_0821300	0.035	111.658637544741	sim
214	PF3D7_0320000	PKNH_0821200	0.15	92.8508330986676	sim
215	PF3D7_0320200	PKNH_0821000	0.305	163.70154618064	dissim
216	PF3D7_0320300	PKNH_0820900	0.1	16.4138772762234	sim
217	PF3D7_0320500	PKNH_0820300	0.4	234.437444731337	dissim
218	PF3D7_0320600	PKNH_0820200	0.01	30.4560856227614	sim
219	PF3D7_0320700	PKNH_0820100	0.145	78.4017045762301	sim
220	PF3D7_0320800	PKNH_0820000	0.03	87.012852935395	sim
221	PF3D7_0321200	PKNH_0819600	0.0599999999999999	53.9410240719201	sim
222	PF3D7_0321400	PKNH_0819400	0.035	41.5726100841811	sim
223	PF3D7_0322000	PKNH_0818800	0.055	4.6432848216441	sim
224	PF3D7_0322100	PKNH_0818700	0.315	55.5873881910111	sim
225	PF3D7_0322800	PKNH_0817600	0.11	95.6484033793618	sim
226	PF3D7_0322900	PKNH_0817500	0.145	2.48491233505024	sim
227	PF3D7_0323200	PKNH_0817200	0.23	51.0412383232761	sim
228	PF3D7_0323600	PKNH_0816800	0.145	33.2273055462328	sim
229	PF3D7_0401900	PKNH_0405800	0	28.7730352990099	sim
230	PF3D7_0403100	PKNH_0300900	0.235	196.128953152295	dissim
231	PF3D7_0403500	PKNH_0301300	0.055	158.680065983413	dissim
232	PF3D7_0404000	PKNH_0302000	0.07	26.2007857025076	sim
233	PF3D7_0404200	PKNH_0302200	0.145	98.4081826417088	sim
234	PF3D7_0404400	PKNH_0302400	0.05	55.8427545746893	sim
235	PF3D7_0405200	PKNH_0303300	0.17	70.0001046315375	sim
236	PF3D7_0405500	PKNH_0303600	0.065	33.6757254651791	sim
237	PF3D7_0405600	PKNH_0303700	0.115	69.0184503529542	sim
238	PF3D7_0405800	PKNH_0303900	0.15	117.0476243911	sim
239	PF3D7_0406600	PKNH_0304600	0.025	67.6977035442719	sim
240	PF3D7_0406800	PKNH_0304800	0.105	57.6057661651335	sim
241	PF3D7_0407000	PKNH_0305000	0.06	74.7942344329646	sim
242	PF3D7_0407300	PKNH_0305300	0.375	49.0703163582727	sim
243	PF3D7_0408000	PKNH_0306000	0.125	111.121783693001	sim
244	PF3D7_0408400	PKNH_0306400	0.0649999999999999	53.9417965640375	sim
245	PF3D7_0408500	PKNH_0306500	0.03	19.8216144066631	sim
246	PF3D7_0408600	PKNH_0306600	0.125	243.893569731909	dissim
247	PF3D7_0408700	PKNH_0306700	0.11	59.8031471168893	sim
248	PF3D7_0408800	PKNH_0306800	0.115	120.195411883292	sim
249	PF3D7_0409400	PKNH_0307500	0.1	33.7193384108296	sim
250	PF3D7_0409500	PKNH_0307600	0.265	20.1209721856322	sim
251	PF3D7_0409700	PKNH_0307800	0.01	53.5961224858387	sim
252	PF3D7_0409900	PKNH_0308000	0.09	43.1836274844393	sim
253	PF3D7_0410400	PKNH_0308500	0.47	117.60059911718	dissim
254	PF3D7_0410500	PKNH_0308600	0.11	53.4696336917347	sim
255	PF3D7_0410600	PKNH_0308700	0.085	56.5156661838522	sim
256	PF3D7_0410700	PKNH_0308800	0.26	78.6928759551135	sim
257	PF3D7_0411100	PKNH_0309200	0.0649999999999999	64.2021224544972	sim
258	PF3D7_0412000	PKNH_0310200	0.03	24.3989657070504	sim
259	PF3D7_0412100	PKNH_0310300	0.02	59.9423913353793	sim
260	PF3D7_0412200	PKNH_0310400	0.07	64.6421169995802	sim
261	PF3D7_0413500	PKNH_0505100	0.14	25.9372576601259	sim
262	PF3D7_0413700	PKNH_0505300	0.105	46.0398702469692	sim
263	PF3D7_0413800	PKNH_0505400	0.01	35.1715365657827	sim
264	PF3D7_0413900	PKNH_0505500	0.14	78.4078241848632	sim
265	PF3D7_0414000	PKNH_0505600	0.115	33.2951833607134	sim
266	PF3D7_0414100	PKNH_0505700	0.14	175.70079347438	dissim
267	PF3D7_0414500	PKNH_0506100	0.26	109.554340937661	dissim
268	PF3D7_0414600	PKNH_0506200	0.01	5.52385976304377	sim
269	PF3D7_0414700	PKNH_0506300	0.09	27.4815655193282	sim
270	PF3D7_0414900	PKNH_0506500	0	86.6879836706855	sim
271	PF3D7_0415000	PKNH_0506600	0.26	159.99275503668	dissim
272	PF3D7_0415100	PKNH_0506700	0.355	151.250709630893	dissim
273	PF3D7_0415600	PKNH_0507200	0.14	57.4911621902775	sim
274	PF3D7_0415900	PKNH_0507500	0.065	8.84956838028172	sim
275	PF3D7_0416600	PKNH_0509000	0.105	123.071368400688	sim
276	PF3D7_0416800	PKNH_0509200	0.225	135.307289761851	dissim
277	PF3D7_0417100	PKNH_0509500	0.07	56.4660323968405	sim
278	PF3D7_0417200	PKNH_0509600	0.115	31.0226115495207	sim
279	PF3D7_0417300	PKNH_0509700	0.23	13.4162108166701	sim
280	PF3D7_0417500	PKNH_0509900	0.075	58.1714871628636	sim
281	PF3D7_0417600	PKNH_0510000	0.14	14.6518217776024	sim
282	PF3D7_0417800	PKNH_0510200	0.265	81.6870290111281	sim
283	PF3D7_0418200	PKNH_0510600	0.185	11.068436972949	sim
284	PF3D7_0418400	PKNH_0510800	0.025	50.0822976299109	sim
285	PF3D7_0418500	PKNH_0510900	0.145	51.0912017762117	sim
286	PF3D7_0418700	PKNH_0511400	0.1	45.4517607952886	sim
287	PF3D7_0418800	PKNH_0511500	0.165	19.8414138979691	sim
288	PF3D7_0419000	PKNH_0511700	0.035	15.4034334762935	sim
289	PF3D7_0419200	PKNH_0511900	0.025	24.2392239841711	sim
290	PF3D7_0420200	PKNH_0513000	0.02	51.0203709962591	sim
291	PF3D7_0420400	PKNH_0513200	0.03	61.5728150047811	sim
292	PF3D7_0420500	PKNH_0513300	0.025	34.7712978636679	sim
293	PF3D7_0422000	PKNH_0513800	0.345	107.400638852125	dissim
294	PF3D7_0422100	PKNH_0513900	0.265	180.371582031206	dissim
295	PF3D7_0422300	PKNH_0514200	0.115	106.460153451648	sim
296	PF3D7_0422300	PKNH_0701400	0.115	59.8985962866935	sim
297	PF3D7_0422600	PKNH_0514500	0.12	113.762695722374	sim
298	PF3D7_0422700	PKNH_0514600	0.43	35.7196134809057	sim
299	PF3D7_0422800	PKNH_0514700	0.14	26.468047607101	sim
300	PF3D7_0422900	PKNH_0514800	0.4	267.210405377141	dissim
301	PF3D7_0423200	PKNH_0515100	0.23	143.697725674736	dissim
302	PF3D7_0423500	PKNH_0515400	0.07	32.815966028358	sim
303	PF3D7_0424500	PKNH_0113200	0.11	158.694497504904	dissim
304	PF3D7_0500900	PKNH_0113200	0.03	34.0471030608561	sim
305	PF3D7_0501500	PKNH_1032300	0.025	40.9231141452097	sim
306	PF3D7_0501700	PKNH_1032200	0.26	105.21081489348	dissim
307	PF3D7_0501900	PKNH_1032000	0.01	69.9577128954912	sim
308	PF3D7_0502100	PKNH_1031800	0.315	137.491510735255	dissim
309	PF3D7_0502200	PKNH_1031700	0.145	68.7518740546686	sim
310	PF3D7_0502400	PKNH_1031500	0.185	159.811615665759	dissim
311	PF3D7_0502700	PKNH_1031200	0.015	19.4797452862685	sim
312	PF3D7_0502800	PKNH_1031100	0.145	89.2877614056756	sim
313	PF3D7_0502900	PKNH_1031000	0.48	113.987127961949	dissim
314	PF3D7_0503000	PKNH_1030900	0.03	64.6940485814508	sim
315	PF3D7_0503100	PKNH_1030800	0.0649999999999999	49.7010600486079	sim
316	PF3D7_0503200	PKNH_1030700	0.09	27.8501212441575	sim
317	PF3D7_0503300	PKNH_1030300	0	49.8511407125587	sim
318	PF3D7_0503400	PKNH_1030200	0	9.00904253801877	sim
319	PF3D7_0503600	PKNH_1029900	0.125	89.2073209282459	sim
320	PF3D7_0503800	PKNH_1029800	0.265	19.6232425683402	sim
321	PF3D7_0504100	PKNH_1029500	0.025	75.6986285370793	sim
322	PF3D7_0504200	PKNH_1029400	0.0649999999999999	51.446187253289	sim
323	PF3D7_0504300	PKNH_1029300	0.14	86.8640591542452	sim
324	PF3D7_0504400	PKNH_1029200	0.11	94.1843529799047	sim
325	PF3D7_0504500	PKNH_1029100	0.26	47.356756931137	sim
326	PF3D7_0504600	PKNH_1029000	0.01	94.1826783369006	sim
327	PF3D7_0504900	PKNH_1028700	0.035	18.0958704228368	sim
328	PF3D7_0505200	PKNH_1028400	0.025	77.6857446598581	sim
329	PF3D7_0505400	PKNH_1028200	0.01	53.6626329871629	sim
330	PF3D7_0505500	PKNH_1028100	0.115	28.528665695588	sim
331	PF3D7_0505600	PKNH_1028000	0.115	107.462620118272	sim
332	PF3D7_0505800	PKNH_1027800	0.265	145.856451890473	dissim
333	PF3D7_0505900	PKNH_1027700	0.075	44.9317130463248	sim
334	PF3D7_0506900	PKNH_1026700	0.1	11.4424184907749	sim
335	PF3D7_0507000	PKNH_1026600	0.15	107.413413049103	sim
336	PF3D7_0507100	PKNH_1026500	0.105	7.51200835717811	sim
337	PF3D7_0507500	PKNH_1026100	0.125	64.1995130651011	sim
338	PF3D7_0507900	PKNH_1025700	0.48	125.952524914316	dissim
339	PF3D7_0508000	PKNH_1025600	0.01	15.4140119150359	sim
340	PF3D7_0508200	PKNH_1025400	0.03	24.7967400523922	sim
341	PF3D7_0508300	PKNH_1025300	0.375	97.2648573572418	sim
342	PF3D7_0508400	PKNH_1025200	0.125	151.626899958373	dissim
343	PF3D7_0508800	PKNH_1024800	0.48	180.46336921947	dissim
344	PF3D7_0509000	PKNH_1024600	0.03	48.3626178889912	sim
345	PF3D7_0509200	PKNH_1024400	0.1	13.1695284690161	sim
346	PF3D7_0509500	PKNH_1024100	0.155	36.0536924248192	sim
347	PF3D7_0509600	PKNH_1024000	0.06	25.08303773892	sim
348	PF3D7_0509800	PKNH_1023800	0.135	204.018763489712	dissim
349	PF3D7_0509900	PKNH_1023700	0.115	17.6757391456951	sim
350	PF3D7_0510300	PKNH_1023300	0	243.721365823091	dissim
351	PF3D7_0510500	PKNH_1023100	0.03	59.6968995491471	sim
352	PF3D7_0510800	PKNH_1022800	0.11	28.5746400789271	sim
353	PF3D7_0511100	PKNH_1022500	0.19	134.938205018779	dissim
354	PF3D7_0511200	PKNH_1022400	0.14	66.933970070385	sim
355	PF3D7_0511700	PKNH_1021900	0.395	245.566536610051	dissim
356	PF3D7_0512000	PKNH_1021600	0.105	68.1980416687234	sim
357	PF3D7_0512100	PKNH_1021500	0.15	62.8181970207874	sim
358	PF3D7_0512200	PKNH_0111100	0.145	50.9663044649616	sim
359	PF3D7_0512300	PKNH_1020900	0.31	78.441958505626	sim
360	PF3D7_0512700	PKNH_1020400	0.19	28.4851407585918	sim
361	PF3D7_0512900	PKNH_1020200	0.365	82.8461917096074	sim
362	PF3D7_0513000	PKNH_1020100	0.115	50.8105508156012	sim
363	PF3D7_0513100	PKNH_1020000	0.0600000000000001	12.890372667654	sim
364	PF3D7_0513300	PKNH_1019800	0.025	43.2258035636444	sim
365	PF3D7_0513400	PKNH_1019700	0.025	56.1702558794975	sim
366	PF3D7_0513500	PKNH_1019600	0.19	26.4232412303318	sim
367	PF3D7_0513600	PKNH_1019500	0.28	50.1022209868883	sim
368	PF3D7_0513800	PKNH_1019300	0.105	57.1054675484251	sim
369	PF3D7_0513900	PKNH_1019200	0.11	96.4446786624242	sim
370	PF3D7_0514000	PKNH_1019100	0.01	36.8173370554995	sim
371	PF3D7_0514500	PKNH_1018600	0.085	52.2484738178057	sim
372	PF3D7_0514600	PKNH_1018500	0.46	108.741331826035	dissim
373	PF3D7_0515200	PKNH_1020950	0.01	110.75236921658	sim
374	PF3D7_0515200	PKNH_1140450	0.23	108.724859280018	dissim
375	PF3D7_0515200	PKNH_0946250	0.01	156.743557562763	dissim
376	PF3D7_0515500	PKNH_1017700	0.115	15.0351645688658	sim
377	PF3D7_0515700	PKNH_1017500	0.025	36.7462250415001	sim
378	PF3D7_0515800	PKNH_1017400	0.11	39.8421040343757	sim
379	PF3D7_0515900	PKNH_1017300	0.175	26.1542634218187	sim
380	PF3D7_0516000	PKNH_1017200	0.105	55.0339624379493	sim
381	PF3D7_0516200	PKNH_1017100	0.39	28.3469234298186	sim
382	PF3D7_0516500	PKNH_1016800	0.11	97.5668180906439	sim
383	PF3D7_0516900	PKNH_1016400	0.06	15.9094521991895	sim
384	PF3D7_0517000	PKNH_1016300	0.065	13.3725441473183	sim
385	PF3D7_0517300	PKNH_1016000	0.485	140.977746751222	dissim
386	PF3D7_0517500	PKNH_1015800	0.11	29.5951507890144	sim
387	PF3D7_0517600	PKNH_1015700	0.115	41.8469077375318	sim
