Pf_GeneID	Pk_GeneID
PF3D7_0606200	PKNH_1144000
PF3D7_0606300	PKNH_1143900
PF3D7_0606400	PKNH_1143800
PF3D7_0606500	PKNH_1143700
PF3D7_0606700	PKNH_1143500
PF3D7_0606900	PKNH_1143400
PF3D7_0607000	PKNH_1143300
PF3D7_0607100	PKNH_1143200
PF3D7_0607200	PKNH_1143100
PF3D7_0607300	PKNH_1143000
PF3D7_0607400	PKNH_1142900
PF3D7_0607500	PKNH_1142800
PF3D7_0607600	PKNH_1142700
PF3D7_0608000	PKNH_1142300
PF3D7_0608200	PKNH_1142100
PF3D7_0608310	PKNH_1141900
PF3D7_0608400	PKNH_1141800
PF3D7_0608500	PKNH_1141700
PF3D7_0608700	PKNH_1141500
PF3D7_0608800	PKNH_1141400
PF3D7_0609100	PKNH_1141100
PF3D7_0609400	PKNH_1140800
PF3D7_0609500	PKNH_1140700
PF3D7_0609800	PKNH_1140400
PF3D7_0610000	PKNH_1140200
PF3D7_0610100	PKNH_1140100
PF3D7_0610400	PKNH_1139900
PF3D7_0610400	PKNH_1132500
PF3D7_0610500	PKNH_1139800
PF3D7_0610600	PKNH_0832600
PF3D7_0610800	PKNH_1139600
PF3D7_0610900	PKNH_1139500
PF3D7_0611000	PKNH_1139400
PF3D7_0611100	PKNH_1139300
PF3D7_0611200	PKNH_1139200
PF3D7_0611300	PKNH_1139100
PF3D7_0611400	PKNH_1139000
PF3D7_0611500	PKNH_1138900
PF3D7_0611700	PKNH_1138400
PF3D7_0611900	PKNH_1138100
PF3D7_0612000	PKNH_1138000
PF3D7_0612100	PKNH_1137900
PF3D7_0612300	PKNH_1137700
PF3D7_0612400	PKNH_1137600
PF3D7_0612900	PKNH_1137100
PF3D7_0613100	PKNH_1136900
PF3D7_0613200	PKNH_1136800
PF3D7_0613300	PKNH_1136700
PF3D7_0613400	PKNH_1136600
PF3D7_0613700	PKNH_1136300
PF3D7_0614000	PKNH_1136000
PF3D7_0614300	PKNH_1135700
PF3D7_0614400	PKNH_1135600
PF3D7_0614500	PKNH_1135500
PF3D7_0614800	PKNH_1135200
PF3D7_0614900	PKNH_1135100
PF3D7_0615100	PKNH_1134900
PF3D7_0615700	PKNH_1134300
PF3D7_0616100	PKNH_1133900
PF3D7_0616200	PKNH_1133800
PF3D7_0616300	PKNH_1133700
PF3D7_0616700	PKNH_1133300
PF3D7_0616800	PKNH_1133200
PF3D7_0617000	PKNH_1133000
PF3D7_0617100	PKNH_1132900
PF3D7_0617200	PKNH_1132800
PF3D7_0617300	PKNH_1132700
PF3D7_0617800	PKNH_1132600
PF3D7_0617900	PKNH_1132500
PF3D7_0617900	PKNH_1139900
PF3D7_0618000	PKNH_1132400
PF3D7_0618200	PKNH_1132200
PF3D7_0618300	PKNH_1132100
PF3D7_0618500	PKNH_1131900
PF3D7_0618600	PKNH_1131800
PF3D7_0619100	PKNH_1131300
PF3D7_0619400	PKNH_1131000
PF3D7_0619500	PKNH_1130800
PF3D7_0619700	PKNH_1130600
PF3D7_0619900	PKNH_1130400
PF3D7_0620100	PKNH_1130200
PF3D7_0620500	PKNH_1129700
PF3D7_0620700	PKNH_1129500
PF3D7_0621000	PKNH_1129200
PF3D7_0621100	PKNH_1129100
PF3D7_0621200	PKNH_1129000
PF3D7_0621300	PKNH_1128900
PF3D7_0621400	PKNH_1128800
PF3D7_0621500	PKNH_1128700
PF3D7_0621700	PKNH_1128500
PF3D7_0621800	PKNH_1128400
PF3D7_0621900	PKNH_1128300
PF3D7_0622400	PKNH_1127800
PF3D7_0622500	PKNH_1127700
PF3D7_0622600	PKNH_1127600
PF3D7_0623000	PKNH_1127200
PF3D7_0623100	PKNH_1127100
PF3D7_0623200	PKNH_1127000
PF3D7_0623300	PKNH_1126900
PF3D7_0623400	PKNH_1126800
PF3D7_0623500	PKNH_1126700
PF3D7_0623600	PKNH_1126600
PF3D7_0623900	PKNH_1126300
PF3D7_0624000	PKNH_1126200
PF3D7_0624100	PKNH_1126100
PF3D7_0624200	PKNH_1126000
PF3D7_0624300	PKNH_1125900
PF3D7_0624500	PKNH_1125700
PF3D7_0624700	PKNH_1125500
PF3D7_0624900	PKNH_1125300
PF3D7_0625100	PKNH_1125100
PF3D7_0625500	PKNH_1124300
PF3D7_0625600	PKNH_1124200
PF3D7_0625700	PKNH_1124100
PF3D7_0626100	PKNH_1123700
PF3D7_0626200	PKNH_1123600
PF3D7_0626300	PKNH_1123500
PF3D7_0626500	PKNH_1123300
PF3D7_0626600	PKNH_1123200
PF3D7_0626700	PKNH_1123100
PF3D7_0626800	PKNH_1123000
PF3D7_0626900	PKNH_1122900
PF3D7_0627200	PKNH_1122600
PF3D7_0627400	PKNH_1122400
PF3D7_0627500	PKNH_1122300
PF3D7_0627700	PKNH_1122100
PF3D7_0627800	PKNH_1122000
PF3D7_0627900	PKNH_1121900
PF3D7_0628000	PKNH_1121800
PF3D7_0628300	PKNH_1121500
PF3D7_0628400	PKNH_1121400
PF3D7_0628500	PKNH_1121300
PF3D7_0628600	PKNH_1121200
PF3D7_0628800	PKNH_1121000
PF3D7_0629000	PKNH_1120800
PF3D7_0629100	PKNH_1120700
PF3D7_0629200	PKNH_1120300
PF3D7_0629500	PKNH_1120000
PF3D7_0629600	PKNH_1119900
PF3D7_0629900	PKNH_1119600
PF3D7_0630000	PKNH_1119500
PF3D7_0630100	PKNH_1119400
PF3D7_0630200	PKNH_1119300
PF3D7_0630300	PKNH_1119200
PF3D7_0630400	PKNH_1119100
PF3D7_0630500	PKNH_1119000
PF3D7_0630800	PKNH_1118700
PF3D7_0630900	PKNH_1118600
PF3D7_0631000	PKNH_1118500
